epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.8659,0.33464,1.30321,1.01711,0.78764,0.88692,0.87603,0.5725,0.5121,2.74979,0.82925,0.0006,0.0006,0.0006
2,142.481,0.22055,0.62878,0.92815,0.30335,0.5,0.40037,0.24926,1.34227,4.27147,1.97247,0.00119584,0.00119584,0.00119584
3,207.245,0.24132,0.60395,0.93636,0.28725,0.44928,0.24024,0.05786,2.36312,6.14077,2.77728,0.00176714,0.00176714,0.00176714
4,272.339,0.26206,0.57259,0.93524,0.8142,0.88912,0.89401,0.32093,1.77371,2.81072,2.42419,0.0018812,0.0018812,0.0018812
5,336.499,0.23547,0.47836,0.91387,0.64664,0.64493,0.62423,0.23398,1.68075,1.90618,1.78016,0.0018416,0.0018416,0.0018416
6,398.959,0.21961,0.44848,0.91802,0.70033,0.84058,0.77006,0.50029,0.74584,1.09883,1.07109,0.001802,0.001802,0.001802
7,461.799,0.20974,0.40033,0.92077,0.96467,0.9892,0.99249,0.95543,0.35878,0.61609,0.74809,0.0017624,0.0017624,0.0017624
8,524.448,0.18388,0.34294,0.90253,0.99912,1,0.995,0.988,0.20848,0.36717,0.56355,0.0017228,0.0017228,0.0017228
9,587.102,0.19339,0.34857,0.90595,0.99063,0.99275,0.99486,0.96751,0.2043,0.43117,0.53285,0.0016832,0.0016832,0.0016832
10,650.183,0.176,0.31913,0.89891,0.97419,1,0.99368,0.98113,0.25503,0.40268,0.63314,0.0016436,0.0016436,0.0016436
11,713.632,0.16392,0.29938,0.88495,0.98433,0.99275,0.99471,0.98414,0.25581,0.39672,0.58994,0.001604,0.001604,0.001604
12,775.785,0.15304,0.2747,0.87974,0.99897,1,0.995,0.97732,0.27743,0.54459,0.5641,0.0015644,0.0015644,0.0015644
13,838.066,0.15333,0.28165,0.89566,0.95783,0.98757,0.9921,0.95415,0.25847,0.44257,0.60981,0.0015248,0.0015248,0.0015248
14,910.496,0.14642,0.26582,0.88297,0.97703,1,0.99464,0.98853,0.21485,0.38108,0.5702,0.0014852,0.0014852,0.0014852
15,984.733,0.14171,0.24508,0.89256,0.99979,1,0.995,0.99264,0.18312,0.30662,0.51063,0.0014456,0.0014456,0.0014456
16,1057.18,0.1371,0.23273,0.88169,1,0.99998,0.995,0.995,0.21402,0.31742,0.53824,0.001406,0.001406,0.001406
17,1129.79,0.14197,0.24817,0.8889,0.9924,1,0.995,0.995,0.23397,0.32258,0.57639,0.0013664,0.0013664,0.0013664
18,1202.59,0.12579,0.23205,0.88451,0.99972,1,0.995,0.995,0.169,0.26791,0.49343,0.0013268,0.0013268,0.0013268
19,1275.45,0.12829,0.21748,0.87334,0.90179,0.94928,0.98727,0.97077,0.22281,0.48811,0.56422,0.0012872,0.0012872,0.0012872
20,1347.2,0.13832,0.22513,0.89374,0.99086,1,0.995,0.97711,0.20714,0.47431,0.56422,0.0012476,0.0012476,0.0012476
21,1416.45,0.11422,0.19627,0.87099,0.9249,0.98174,0.98301,0.95462,0.24941,0.46592,0.61672,0.001208,0.001208,0.001208
22,1487.19,0.12105,0.21225,0.88017,0.77791,0.92754,0.97375,0.96973,0.1918,0.81795,0.53686,0.0011684,0.0011684,0.0011684
23,1557.65,0.11127,0.19344,0.87558,1,0.99769,0.995,0.995,0.15644,0.27005,0.50977,0.0011288,0.0011288,0.0011288
24,1630.11,0.11014,0.19532,0.87482,0.99931,1,0.995,0.995,0.13085,0.2596,0.48857,0.0010892,0.0010892,0.0010892
25,1701.76,0.10063,0.18381,0.8662,0.99911,1,0.995,0.99057,0.13561,0.24412,0.48162,0.0010496,0.0010496,0.0010496
26,1776.89,0.0965,0.1652,0.87478,0.99937,1,0.995,0.9932,0.13582,0.22357,0.46758,0.00101,0.00101,0.00101
27,1851.4,0.10098,0.17216,0.8573,0.99272,0.98862,0.99493,0.99261,0.12076,0.23879,0.47569,0.0009704,0.0009704,0.0009704
28,1926.32,0.10299,0.17673,0.86838,0.99946,1,0.995,0.99494,0.15343,0.21805,0.48118,0.0009308,0.0009308,0.0009308
29,2001.21,0.10135,0.1765,0.86751,0.99952,1,0.995,0.99494,0.14392,0.22839,0.47738,0.0008912,0.0008912,0.0008912
30,2075.79,0.09574,0.15588,0.87355,0.99951,1,0.995,0.995,0.1677,0.20693,0.49308,0.0008516,0.0008516,0.0008516
31,2151.3,0.08746,0.15392,0.8686,0.9996,1,0.995,0.99317,0.16918,0.22867,0.51296,0.000812,0.000812,0.000812
32,2225.22,0.0898,0.14847,0.85961,0.99955,1,0.995,0.9918,0.14388,0.21116,0.49493,0.0007724,0.0007724,0.0007724
33,2297.11,0.08509,0.15523,0.85589,0.99962,1,0.995,0.99458,0.12886,0.20984,0.46216,0.0007328,0.0007328,0.0007328
34,2371.29,0.08816,0.14319,0.86029,0.99951,1,0.995,0.995,0.14736,0.2108,0.48406,0.0006932,0.0006932,0.0006932
35,2446.32,0.08163,0.15187,0.86069,0.99158,1,0.99486,0.99481,0.15447,0.2549,0.49665,0.0006536,0.0006536,0.0006536
36,2522.19,0.08427,0.13629,0.87045,0.99214,1,0.995,0.99494,0.16636,0.21489,0.51002,0.000614,0.000614,0.000614
37,2597.17,0.07418,0.13357,0.86271,0.99707,1,0.995,0.994,0.1259,0.21305,0.49906,0.0005744,0.0005744,0.0005744
38,2671.6,0.07563,0.13361,0.8607,0.99958,1,0.995,0.99334,0.14482,0.1991,0.51098,0.0005348,0.0005348,0.0005348
39,2745.54,0.06756,0.12524,0.86178,0.99957,1,0.995,0.995,0.11569,0.20538,0.46453,0.0004952,0.0004952,0.0004952
40,2819.41,0.0648,0.12556,0.85389,0.99942,1,0.995,0.995,0.10948,0.18899,0.45878,0.0004556,0.0004556,0.0004556
41,2893.07,0.11491,0.49736,0.87978,0.99904,1,0.995,0.995,0.13546,0.27623,0.46874,0.000416,0.000416,0.000416
42,2966.39,0.07082,0.12091,0.84475,0.99952,1,0.995,0.995,0.13291,0.37125,0.45166,0.0003764,0.0003764,0.0003764
43,3041.47,0.07357,0.11055,0.83913,0.9996,1,0.995,0.995,0.11059,0.20293,0.4393,0.0003368,0.0003368,0.0003368
44,3116.26,0.06573,0.10187,0.83313,0.99962,1,0.995,0.995,0.10736,0.15487,0.44242,0.0002972,0.0002972,0.0002972
45,3190.99,0.05393,0.08277,0.83496,0.99961,1,0.995,0.995,0.10913,0.14636,0.4603,0.0002576,0.0002576,0.0002576
46,3263.75,0.05096,0.08217,0.84488,0.99963,1,0.995,0.995,0.1147,0.14532,0.45844,0.000218,0.000218,0.000218
47,3338.21,0.046,0.07464,0.83052,0.99962,1,0.995,0.995,0.12073,0.16214,0.45723,0.0001784,0.0001784,0.0001784
48,3413,0.04154,0.06964,0.83969,0.99963,1,0.995,0.995,0.11584,0.15308,0.45244,0.0001388,0.0001388,0.0001388
49,3486.14,0.04276,0.06796,0.8403,0.99963,1,0.995,0.995,0.10569,0.14504,0.4533,9.92e-05,9.92e-05,9.92e-05
50,3560.34,0.03917,0.06521,0.83753,0.99962,1,0.995,0.995,0.10048,0.13899,0.4518,5.96e-05,5.96e-05,5.96e-05
